Tie Id,Match Id,Date,Draw Bracket Type,Draw Bracket Value,Draw Gender,Draw Name,Draw Size,Draw Team Type,Draw Type,Id Type,Loser 1 City,Loser 1 College,Loser 1 Country,Loser 1 Dob,Loser 1 Gender,Loser 1 Name,Loser 1 State,Loser 1 Third Party Id,Loser 2 City,Loser 2 College,Loser 2 Country,Loser 2 Dob,Loser 2 Gender,Loser 2 Name,Loser 2 State,Loser 2 Third Party Id,Outcome,Score,Tournament City,Tournament Country,Tournament Country Code,Tournament End Date,Tournament Event Category,Tournament Event Grade,Tournament Event Type,Tournament Host,Tournament Import Source,Tournament Location Type,Tournament Name,Tournament Sanction Body,Tournament Start Date,Tournament State,Tournament Surface,Tournament Url,Winner 1 City,Winner 1 College,Winner 1 Country,Winner 1 Dob,Winner 1 Gender,Winner 1 Name,Winner 1 State,Winner 1 Third Party Id,Winner 2 City,Winner 2 College,Winner 2 Country,Winner 2 Dob,Winner 2 Gender,Winner 2 Name,Winner 2 State,Winner 2 Third Party Id
fa781011-ca9f-430f-87f6-ed9545111899,57488270-9ae3-4d1e-b903-9f2486218a49,,Age,Open,Female,Match 2,,Singles,Semi Finals,Fedcup,,,Cyprus,,F,"Georgiou Papakyriacou, Andrea",,22ece84c-d383-4c5c-a04e-dc5b49e7dc3f,,,,,,,,,,"6-0, 6-2;",Banja Luka,,,04/11/2026,Pro Circuit,,Team Match,Tennis Association Rs - Banja Luka,,Outdoor,Group II Europe/Africa - Bulgaria vs Cyprus,ITF,04/06/2026,,,https://www.billiejeankingcup.com/en/tie/fa781011-ca9f-430f-87f6-ed9545111899,,,Bulgaria,,F,"Yaneva, Elizara",,7295f5f0-d9d8-495f-80d6-48f17a59cf4d,,,,,,,,
90df3e6f-7eef-471b-9f5e-2ec1d01a132a,1fc09692-f247-45f5-8beb-8ed45fbfdc6a,,Age,Open,Female,Match 1,,Singles,Round Robin,Fedcup,,,Norway,,F,"Wiersholm, Katja",,2af325e0-1c3c-4a97-adbe-1153aeae2c90,,,,,,,,,,"6-3, 6-4;",Oeiras,,,04/11/2026,Pro Circuit,,Team Match,Complexo De Tenis Do Jamor - Oeiras,,Outdoor,Group I Europe/Africa - Romania vs Norway,ITF,04/07/2026,,,https://www.billiejeankingcup.com/en/tie/90df3e6f-7eef-471b-9f5e-2ec1d01a132a,,,Romania,,F,"Herea, Carmen Andreea",,bad92bfe-525e-4bf3-bcb4-ae08347a732f,,,,,,,,
80985bc9-db5a-4723-a429-7dea1efc06e4,09f1cffe-9306-444c-b858-dd77f24c505b,,Age,Open,Female,Match 1,,Singles,Round Robin,Fedcup,,,New Zealand,,F,"Das, Aishi",,fa199234-ab8a-4290-bd90-a98c354cd478,,,,,,,,,,"6-2, 6-3;",New Delhi,,,04/11/2026,Pro Circuit,,Team Match,Dlta Stadium - New Delhi,,Outdoor,Group I Asia/Oceania - New Zealand vs Thailand,ITF,04/07/2026,,,https://www.billiejeankingcup.com/en/tie/80985bc9-db5a-4723-a429-7dea1efc06e4,,,Thailand,,F,"Chanta, Anchisa",,b02ba179-5d49-4cb2-9da0-7200745276e2,,,,,,,,
90df3e6f-7eef-471b-9f5e-2ec1d01a132a,632abf38-4443-419f-88a5-68384155edf9,,Age,Open,Female,Match 3,,Doubles,Round Robin,Fedcup,,,Norway,,F,"Wiersholm, Katja",,2af325e0-1c3c-4a97-adbe-1153aeae2c90,,,Norway,,F,"Brune Olsen, Astrid Wanja",,ba0d43a9-a32e-492c-b027-668435cd9956,,"6-2, 6-4;",Oeiras,,,04/11/2026,Pro Circuit,,Team Match,Complexo De Tenis Do Jamor - Oeiras,,Outdoor,Group I Europe/Africa - Romania vs Norway,ITF,04/07/2026,,,https://www.billiejeankingcup.com/en/tie/90df3e6f-7eef-471b-9f5e-2ec1d01a132a,,,Romania,,F,"Amariei, Ilinca Dalina",,0877a2fe-4c7a-4b4e-98dc-281dd928676b,,,Romania,,F,"Oana, Anamaria Federica",,7af300ca-0965-4550-87fe-b6ef31939492
80985bc9-db5a-4723-a429-7dea1efc06e4,5185487e-e648-4ca6-865b-c82b8276bdb1,,Age,Open,Female,Match 2,,Singles,Round Robin,Fedcup,,,New Zealand,,F,"Ivanov, Valentina",,855f8474-12eb-4214-9819-0883841b548b,,,,,,,,,,"6-2, 3-6, 7-5;",New Delhi,,,04/11/2026,Pro Circuit,,Team Match,Dlta Stadium - New Delhi,,Outdoor,Group I Asia/Oceania - New Zealand vs Thailand,ITF,04/07/2026,,,https://www.billiejeankingcup.com/en/tie/80985bc9-db5a-4723-a429-7dea1efc06e4,,,Thailand,,F,"Cheapchandej, Patcharin",,3fbdb5ec-b62a-4090-86b0-50e5405c0192,,,,,,,,
46d9681e-55ac-4fff-8063-9c9178ef0f18,5f1a8db6-2ae0-4f0e-a049-709664f31d1a,,Age,Open,Female,Match 1,,Singles,Round Robin,Fedcup,,,Cuba,,F,"Perez Acosta, Maria Eduarda",,a5ea050a-eeac-42a6-9403-fd8ad2a4217d,,,,,,,,,,"6-1, 6-4;",Santa Tecla,El Salvador,ESA,06/20/2026,Pro Circuit,,Team Match,Federacion Salvadorena De Tenis - Santa Tecla,,Outdoor,Group III Americas - Barbados vs Cuba,ITF,06/15/2026,,,https://www.billiejeankingcup.com/en/tie/46d9681e-55ac-4fff-8063-9c9178ef0f18,,,Barbados,,F,"Chambers, Hannah",,3a42061f-5dee-4c15-a263-fea4419037fd,,,,,,,,
fa781011-ca9f-430f-87f6-ed9545111899,b16b9ee2-333d-4047-9de0-c6924072bd76,,Age,Open,Female,Match 1,,Singles,Semi Finals,Fedcup,,,Cyprus,,F,"Andronicou, Nina",,8ebbbedd-ec1c-4442-b8cb-eb83209d3033,,,,,,,,,,"7-6(4), 6-3;",Banja Luka,,,04/11/2026,Pro Circuit,,Team Match,Tennis Association Rs - Banja Luka,,Outdoor,Group II Europe/Africa - Bulgaria vs Cyprus,ITF,04/06/2026,,,https://www.billiejeankingcup.com/en/tie/fa781011-ca9f-430f-87f6-ed9545111899,,,Bulgaria,,F,"Dencheva, Rositsa",,5c4d17df-30a7-4227-89ec-c93a5884f2a2,,,,,,,,
90df3e6f-7eef-471b-9f5e-2ec1d01a132a,d60553a9-9bc7-4494-a366-dab7a01a5756,,Age,Open,Female,Match 2,,Singles,Round Robin,Fedcup,,,Norway,,F,"Helgo, Malene",,ce7abd31-751f-40c8-8d2b-d9ba092b42aa,,,,,,,,,,"3-6, 6-1, 6-3;",Oeiras,,,04/11/2026,Pro Circuit,,Team Match,Complexo De Tenis Do Jamor - Oeiras,,Outdoor,Group I Europe/Africa - Romania vs Norway,ITF,04/07/2026,,,https://www.billiejeankingcup.com/en/tie/90df3e6f-7eef-471b-9f5e-2ec1d01a132a,,,Romania,,F,"Bertea, Elena Ruxandra",,949b6bcc-db06-4fd4-94e9-8952843f471a,,,,,,,,
80985bc9-db5a-4723-a429-7dea1efc06e4,c39b7868-943e-4aea-86ce-056016beb38b,,Age,Open,Female,Match 3,,Doubles,Round Robin,Fedcup,,,New Zealand,,F,"Das, Aishi",,fa199234-ab8a-4290-bd90-a98c354cd478,,,New Zealand,,F,"Barry, Monique",,c5bd92d9-86a3-4249-8fd6-05bcb010e623,,"6-4, 6-1;",New Delhi,,,04/11/2026,Pro Circuit,,Team Match,Dlta Stadium - New Delhi,,Outdoor,Group I Asia/Oceania - New Zealand vs Thailand,ITF,04/07/2026,,,https://www.billiejeankingcup.com/en/tie/80985bc9-db5a-4723-a429-7dea1efc06e4,,,Thailand,,F,"Naklo, Thasaporn",,aace6a7c-8206-44ee-826e-82bd9e08aa0f,,,Thailand,,F,"Yodpetch, Kamonwan",,400ece9d-b047-42f3-9580-6d733a3c8cc1
46d9681e-55ac-4fff-8063-9c9178ef0f18,653e038b-4639-4abc-a0f3-4db71fda1a28,,Age,Open,Female,Match 2,,Singles,Round Robin,Fedcup,,,Cuba,,F,"Valdez, Roxana",,8e355237-c050-4bcb-adeb-6f41a8a58f9e,,,,,,,,,,"6-2, 4-6, 6-3;",Santa Tecla,El Salvador,ESA,06/20/2026,Pro Circuit,,Team Match,Federacion Salvadorena De Tenis - Santa Tecla,,Outdoor,Group III Americas - Barbados vs Cuba,ITF,06/15/2026,,,https://www.billiejeankingcup.com/en/tie/46d9681e-55ac-4fff-8063-9c9178ef0f18,,,Barbados,,F,"Leslie, Gabrielle",,4afdd29a-5c7c-4a80-b4a9-3a6a943b95bc,,,,,,,,
