match_id,ball_type,draw_bracket_value,draw_name,draw_team_type,tournament_name,date,score,winner_1_name,winner_1_gender,winner_1_third_party_id,winner_1_city,winner_1_country,winner_1_state,winner_2_name,winner_2_gender,winner_2_third_party_id,winner_2_city,winner_2_state,loser_1_name,loser_1_gender,loser_1_third_party_id,loser_1_city,loser_1_state,loser_1_country,loser_2_name,loser_2_gender,loser_2_third_party_id,loser_2_city,loser_2_state,outcome,id_type,draw_gender,draw_bracket_type,draw_type,tournament_city,tournament_state,tournament_country_code,tournament_host,tournament_location_type,tournament_surface,tournament_event_category,tournament_event_grade,tournament_import_source,tournament_sanction_body,winner_2_country,winner_2_college,loser_2_country,loser_2_college,tournament_event_type,winner_1_college,loser_1_college,tournament_url,winner_1_dob,winner_2_dob,loser_1_dob,loser_2_dob,tournament_country,tournament_start_date,tournament_end_date,winner_team,loser_team,team_score,winner_team_type,loser_team_type
,Yellow,,#1 Doubles,Doubles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026",6-4;,"Hammond, Edie",F,,,,,"Jarvinen, Emilia",F,,,,"Franz, Ella",F,,,,,"Petkova Mustafa, Melliz",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Oakland University,,Cleveland State University,Dual Match,Oakland University,Cleveland State University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#2 Doubles,Doubles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026",6-2;,"Mancino, Anna",F,,,,,"Geisz, Leah",F,,,,"Piechowicz, Martyna",F,,,,,"Klimas, Oliwia",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Cleveland State University,,Oakland University,Dual Match,Cleveland State University,Oakland University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#3 Doubles,Doubles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026",6-4;,"Bulut, Nisa",F,,,,,"Montreuil, Tara",F,,,,"Redmile, Jenna",F,,,,,"Tapia, Laura",F,,,,Completed,,Female,,,,,USA,,,,,,College,College,,Oakland University,,Cleveland State University,Dual Match,Oakland University,Cleveland State University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#1 Singles,Singles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026","7-6(1), 6-3;","Franz, Ella",F,,,,,,,,,,"Piechowicz, Martyna",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Cleveland State University,Oakland University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#2 Singles,Singles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026","4-6, 6-3, 7-5;","Mancino, Anna",F,,,,,,,,,,"Klimas, Oliwia",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Cleveland State University,Oakland University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#3 Singles,Singles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026","6-2, 6-3;","Bulut, Nisa",F,,,,,,,,,,"Petkova Mustafa, Melliz",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Oakland University,Cleveland State University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#4 Singles,Singles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026","6-4, 6-2;","Hammond, Edie",F,,,,,,,,,,"Redmile, Jenna",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Oakland University,Cleveland State University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#5 Singles,Singles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026","6-4, 5-7, 7-5;","Tapia, Laura",F,,,,,,,,,,"Jarvinen, Emilia",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Cleveland State University,Oakland University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#6 Singles,Singles,Dual Match: Cleveland State University vs Oakland University - Women,"Apr 25, 2026","6-1, 6-2;","Geisz, Leah",F,,,,,,,,,,"Montreuil, Tara",F,,,,,,,,,,Completed,,Female,,,,,USA,,,,,,College,College,,,,,Dual Match,Cleveland State University,Oakland University,https://csuvikings.com/documents/2026/4/25/WTEN_OAK_042526.pdf,,,,,USA,"Apr 25, 2026","Apr 25, 2026",Cleveland State University,Oakland University,4-3;,College,College
,Yellow,,#1 Doubles,Doubles,Dual Match: Flagler College vs Barry University - Men,05/24/2026,6-3;,"Borlee, Ilian",M,,,,,"Malis, Simon",M,,,,"Trione, Riccardo",M,,,,,"Cavalleri, Simone",M,,,,Completed,,Male,,,,,USA,,,,,,College,College,,Flagler College,,Barry University,Dual Match,Flagler College,Barry University,https://gobarrybucs.com/sports/mens-tennis/stats/2025-26/flagler/boxscore/15144,,,,,USA,05/24/2026,05/24/2026,Flagler College,Barry University,4-3;,College,College
